"sample002_knn_10"	"sample002_knn_11"	"sample002_knn_12"	"sample002_knn_13"	"sample002_knn_14"	"sample002_knn_15"
"AC004596.1"	0.0775862068965517	0.0822884012539185	0.091692789968652	0.0956112852664577	0.101097178683386	0.112068965517241
"AC004687.1"	0.923197492163009	0.934952978056426	0.945924764890282	0.961598746081505	0.966300940438871	0.971786833855799
"AC004706.3"	0.018025078369906	0.0219435736677116	0.0219435736677116	0.024294670846395	0.0258620689655172	0.0266457680250784
"AC004771.3"	0.0313479623824451	0.0336990595611285	0.0360501567398119	0.0423197492163009	0.0454545454545455	0.0462382445141066
"AC004797.1"	0.816614420062696	0.843260188087774	0.86833855799373	0.885579937304075	0.904388714733542	0.914576802507837
"AC004803.1"	0.112068965517241	0.121473354231975	0.130094043887147	0.136363636363636	0.144984326018809	0.148902821316614
"AC004812.2"	0.412225705329154	0.445141065830721	0.467084639498433	0.482758620689655	0.5	0.514890282131661
"AC004816.1"	0.20141065830721	0.211598746081505	0.220219435736677	0.229623824451411	0.247648902821317	0.260188087774295
"AC004828.1"	0.018025078369906	0.0211598746081505	0.0235109717868339	0.0250783699059561	0.0297805642633229	0.0344827586206897
"AC004830.2"	0.0188087774294671	0.0188087774294671	0.0203761755485893	0.0219435736677116	0.0250783699059561	0.0266457680250784
"AC004832.6"	0.0250783699059561	0.0266457680250784	0.0289968652037618	0.0344827586206897	0.0407523510971787	0.0431034482758621
"AC004834.1"	0.132445141065831	0.143416927899687	0.149686520376176	0.161442006269592	0.166144200626959	0.182601880877743
"AC004837.4"	0.0768025078369906	0.0807210031347962	0.0885579937304075	0.0979623824451411	0.101880877742947	0.106583072100313
"AC004839.2"	0.11128526645768	0.117554858934169	0.122257053291536	0.130094043887147	0.141065830721003	0.15282131661442
"AC004846.1"	0.0815047021943574	0.0901253918495298	0.0971786833855799	0.10423197492163	0.110501567398119	0.114420062695925
"AC004846.2"	0.0360501567398119	0.0376175548589342	0.0399686520376176	0.0415360501567398	0.0431034482758621	0.0454545454545455
"AC004854.2"	0.04858934169279	0.0556426332288401	0.061128526645768	0.0681818181818182	0.072884012539185	0.0783699059561129
"AC004865.2"	0.0650470219435737	0.0721003134796238	0.079153605015674	0.0893416927899686	0.0940438871473354	0.101097178683386
"AC004908.2"	0.125391849529781	0.148902821316614	0.171630094043887	0.191222570532915	0.204545454545455	0.214733542319749
"AC004917.1"	0.030564263322884	0.0329153605015674	0.0336990595611285	0.0352664576802508	0.0462382445141066	0.0540752351097179
"AC004918.1"	0.0838557993730407	0.091692789968652	0.101880877742947	0.110501567398119	0.11833855799373	0.126175548589342
"AC004918.4"	0.0258620689655172	0.0282131661442006	0.0289968652037618	0.0297805642633229	0.0313479623824451	0.0321316614420063
"AC004921.2"	0.0501567398119122	0.0525078369905956	0.0579937304075235	0.0619122257053292	0.0689655172413793	0.0744514106583072
"AC004938.2"	0.0188087774294671	0.0211598746081505	0.024294670846395	0.0258620689655172	0.0258620689655172	0.0297805642633229
"AC004943.2"	0.911442006269592	0.92398119122257	0.935736677115988	0.942789968652038	0.952978056426332	0.960031347962382
"AC004951.1"	0.768025078369906	0.797021943573668	0.815047021943574	0.820532915360502	0.839341692789969	0.848746081504702
"AC004974.1"	0.0266457680250784	0.0274294670846395	0.0289968652037618	0.0329153605015674	0.0344827586206897	0.0376175548589342
"AC004988.1"	0.0603448275862069	0.0619122257053292	0.0658307210031348	0.0705329153605016	0.0744514106583072	0.0775862068965517
"AC005005.4"	0.181034482758621	0.197492163009404	0.21551724137931	0.2358934169279	0.252351097178683	0.268808777429467
"AC005009.2"	0.0344827586206897	0.036833855799373	0.0415360501567398	0.0423197492163009	0.0501567398119122	0.0540752351097179
"AC005014.4"	0.0626959247648903	0.0705329153605016	0.0721003134796238	0.0815047021943574	0.0838557993730407	0.0877742946708464
"AC005034.6"	0.0384012539184953	0.0454545454545455	0.0470219435736677	0.0595611285266458	0.0673981191222571	0.072884012539185
"AC005037.1"	0.786833855799373	0.811128526645768	0.836206896551724	0.855799373040752	0.88166144200627	0.903605015673981
"AC005041.5"	0.253918495297806	0.275078369905956	0.297021943573668	0.315830721003135	0.349529780564263	0.373040752351097
"AC005052.2"	0.206896551724138	0.225705329153605	0.238244514106583	0.247648902821317	0.257836990595611	0.271943573667712
"AC005064.1"	0.27742946708464	0.302507836990596	0.321316614420063	0.344827586206897	0.365987460815047	0.38871473354232
"AC005070.3"	0.119905956112853	0.128526645768025	0.139498432601881	0.151253918495298	0.164576802507837	0.175548589341693
"AC005072.1"	0.255485893416928	0.272727272727273	0.29153605015674	0.307993730407524	0.325235109717868	0.345611285266458
"AC005076.1"	0.239811912225705	0.263322884012539	0.282915360501567	0.303291536050157	0.321316614420063	0.350313479623824
"AC005081.1"	0.0360501567398119	0.0399686520376176	0.0454545454545455	0.0478056426332288	0.0478056426332288	0.0493730407523511
"AC005091.1"	0.0399686520376176	0.0478056426332288	0.0556426332288401	0.0603448275862069	0.0658307210031348	0.0673981191222571
"AC005154.4"	0.0658307210031348	0.0713166144200627	0.0752351097178683	0.0799373040752351	0.0846394984326019	0.0893416927899686
"AC005180.1"	0.0626959247648903	0.0650470219435737	0.0666144200626959	0.0713166144200627	0.0783699059561129	0.0830721003134796
"AC005224.2"	0.155956112852665	0.169278996865204	0.183385579937304	0.197492163009404	0.210031347962382	0.221786833855799
"AC005224.3"	0.185736677115987	0.202194357366771	0.223354231974922	0.242163009404389	0.256269592476489	0.274294670846395
"AC005225.2"	0.0250783699059561	0.0266457680250784	0.030564263322884	0.0321316614420063	0.0329153605015674	0.0360501567398119
"AC005225.3"	0.0564263322884013	0.061128526645768	0.0721003134796238	0.0807210031347962	0.0862068965517241	0.101880877742947
"AC005229.4"	0.171630094043887	0.185736677115987	0.205329153605016	0.216300940438871	0.225705329153605	0.241379310344828
"AC005253.1"	0.137147335423197	0.148119122257053	0.161442006269592	0.16692789968652	0.176332288401254	0.185736677115987
"AC005256.1"	0.121473354231975	0.136363636363636	0.149686520376176	0.162225705329154	0.177899686520376	0.192789968652038
"AC005261.1"	0.845611285266458	0.865203761755486	0.880877742946709	0.896551724137931	0.90987460815047	0.921630094043887
"AC005306.1"	0.0658307210031348	0.072884012539185	0.0760188087774295	0.0862068965517241	0.0948275862068965	0.103448275862069
"AC005307.1"	0.0384012539184953	0.0446708463949843	0.04858934169279	0.0532915360501567	0.0572100313479624	0.0587774294670846
"AC005332.1"	0.0336990595611285	0.036833855799373	0.0407523510971787	0.0431034482758621	0.0446708463949843	0.0493730407523511
"AC005332.3"	0.0336990595611285	0.036833855799373	0.0407523510971787	0.0446708463949843	0.0462382445141066	0.0470219435736677
"AC005332.4"	0.347962382445141	0.367554858934169	0.390282131661442	0.414576802507837	0.434169278996865	0.47257053291536
"AC005332.6"	0.343260188087774	0.378526645768025	0.408307210031348	0.431818181818182	0.461598746081505	0.488244514106583
"AC005363.2"	0.0681818181818182	0.0689655172413793	0.072884012539185	0.0760188087774295	0.0822884012539185	0.0885579937304075
"AC005381.1"	0.398902821316614	0.420062695924765	0.439655172413793	0.461598746081505	0.483542319749216	0.503134796238245
"AC005391.1"	0.0156739811912226	0.0219435736677116	0.0258620689655172	0.0297805642633229	0.0329153605015674	0.0352664576802508
"AC005393.1"	0.0235109717868339	0.024294670846395	0.0266457680250784	0.0282131661442006	0.0313479623824451	0.0336990595611285
"AC005394.1"	0.577586206896552	0.590909090909091	0.612852664576803	0.633228840125392	0.657523510971787	0.672413793103448
"AC005400.1"	0.18025078369906	0.19435736677116	0.213166144200627	0.242163009404389	0.256269592476489	0.274294670846395
"AC005410.2"	0.0462382445141066	0.04858934169279	0.0532915360501567	0.0540752351097179	0.0579937304075235	0.061128526645768
"AC005480.1"	0.268808777429467	0.290752351097179	0.311912225705329	0.34012539184953	0.370689655172414	0.392633228840125
"AC005486.1"	0.0266457680250784	0.0274294670846395	0.030564263322884	0.0329153605015674	0.0352664576802508	0.0360501567398119
"AC005498.3"	0.0344827586206897	0.0415360501567398	0.0462382445141066	0.0517241379310345	0.0579937304075235	0.0681818181818182
"AC005519.1"	0.0289968652037618	0.0321316614420063	0.0336990595611285	0.0336990595611285	0.0352664576802508	0.0376175548589342
"AC005520.2"	0.0697492163009404	0.0807210031347962	0.0846394984326019	0.0940438871473354	0.0987460815047022	0.103448275862069
"AC005520.5"	0.140282131661442	0.152037617554859	0.166144200626959	0.173981191222571	0.181818181818182	0.193573667711599
"AC005523.2"	0.253918495297806	0.275078369905956	0.290752351097179	0.31269592476489	0.335423197492163	0.358150470219436
"AC005532.1"	0.147335423197492	0.158307210031348	0.177115987460815	0.185736677115987	0.199843260188088	0.218652037617555
"AC005534.1"	0.135579937304075	0.14576802507837	0.152037617554859	0.162225705329154	0.166144200626959	0.173197492163009
"AC005537.1"	0.188087774294671	0.203761755485893	0.223354231974922	0.237460815047022	0.25705329153605	0.278996865203762
"AC005540.1"	0.04858934169279	0.0525078369905956	0.0579937304075235	0.0650470219435737	0.0689655172413793	0.0736677115987461
"AC005546.1"	0.0313479623824451	0.0352664576802508	0.0376175548589342	0.0399686520376176	0.0431034482758621	0.0470219435736677
"AC005562.1"	0.0297805642633229	0.0329153605015674	0.0336990595611285	0.036833855799373	0.0415360501567398	0.0438871473354232
"AC005586.1"	0.0195924764890282	0.0219435736677116	0.024294670846395	0.0274294670846395	0.0297805642633229	0.0321316614420063
"AC005616.1"	0.036833855799373	0.0391849529780564	0.0423197492163009	0.0462382445141066	0.0478056426332288	0.0509404388714734
"AC005618.4"	0.0360501567398119	0.0438871473354232	0.0493730407523511	0.0564263322884013	0.061128526645768	0.0634796238244514
"AC005632.3"	0.112852664576803	0.126959247648903	0.134796238244514	0.14576802507837	0.156739811912226	0.163793103448276
"AC005632.6"	0.0172413793103448	0.0195924764890282	0.0203761755485893	0.0211598746081505	0.0258620689655172	0.0297805642633229
"AC005670.1"	0.0493730407523511	0.0525078369905956	0.0619122257053292	0.0642633228840125	0.0736677115987461	0.0799373040752351
"AC005670.3"	0.939655172413793	0.961598746081505	0.967868338557994	0.977272727272727	0.980407523510972	0.982758620689655
"AC005682.2"	0.0266457680250784	0.0274294670846395	0.0313479623824451	0.0344827586206897	0.0384012539184953	0.0415360501567398
"AC005695.2"	0.091692789968652	0.0963949843260188	0.102664576802508	0.107366771159875	0.115987460815047	0.123040752351097
"AC005696.1"	0.0470219435736677	0.0540752351097179	0.0595611285266458	0.0642633228840125	0.0713166144200627	0.0768025078369906
"AC005703.4"	0.0799373040752351	0.0846394984326019	0.0877742946708464	0.091692789968652	0.0971786833855799	0.100313479623824
"AC005726.1"	0.75705329153605	0.792319749216301	0.822884012539185	0.862852664576803	0.876959247648903	0.889498432601881
"AC005726.3"	0.210031347962382	0.237460815047022	0.25705329153605	0.27115987460815	0.285266457680251	0.302507836990596
"AC005726.5"	0.0893416927899686	0.0979623824451411	0.10423197492163	0.108934169278997	0.119905956112853	0.130877742946708
"AC005736.1"	0.0227272727272727	0.0266457680250784	0.0313479623824451	0.0352664576802508	0.0384012539184953	0.0399686520376176
"AC005740.3"	0.0203761755485893	0.0250783699059561	0.0282131661442006	0.0329153605015674	0.0360501567398119	0.0384012539184953
"AC005746.2"	0.0384012539184953	0.0423197492163009	0.0446708463949843	0.0470219435736677	0.0517241379310345	0.054858934169279
"AC005759.1"	0.159090909090909	0.168495297805643	0.176332288401254	0.188087774294671	0.197492163009404	0.205329153605016
"AC005775.1"	0.147335423197492	0.158307210031348	0.172413793103448	0.185736677115987	0.199843260188088	0.213166144200627
"AC005785.1"	0.0148902821316614	0.0164576802507837	0.0195924764890282	0.0203761755485893	0.0211598746081505	0.0235109717868339
